meal_id,name,calories
1225,"Cherries, raw, red, sour",50
1227,"Cabbage, salted, mustard",28
1228,"Blackberry juice, canned",38
1229,"Okra, unprepared, frozen",30
1231,SILK Key Lime soy yogurt,88
1234,"Beans, raw, green, snap",31
1235,"Spaghetti, dry, spinach",372
1237,"Cheese, fat free, cream",105
1240,"Water, generic, bottled",0
1242,"Milk, fluid, low sodium",61
1244,"Cauliflower, raw, green",31
1248,"Fish, raw, chum, salmon",120
1251,"Mango, sweetened, dried",319
1252,"Malabar spinach, cooked",23
1253,"Peppers, raw, hungarian",29
1255,"Pumpkin pie mix, canned",104
1256,"Seaweed, raw, irishmoss",49
1260,"Pickles, sour, cucumber",11
1262,"Bread, enriched, raisin",274
1263,"Bread, toasted, oatmeal",292
1264,"Fish, raw, pink, salmon",127
1265,Octopus (Alaska Native),56
1266,"Ostrich, cooked, oyster",159
1267,"Bagels, cinnamon-raisin",274
1269,"Tamarind nectar, canned",57
1272,"Pears, green anjou, raw",66
1273,"Gravy, beef, CAMPBELL'S",42
1274,"Seaweed, raw, spirulina",26
1275,"Soy meal, raw, defatted",337
1278,"Barley, cooked, pearled",123
1283,"Babyfood, orange, juice",45
1286,"Guavas, raw, strawberry",69
1289,"Radishes, raw, oriental",18
1290,"Puddings, dry mix, rice",376
1291,"Mushrooms, raw, maitake",31
1293,"Taro, with salt, cooked",142
1294,"Melons, raw, cantaloupe",34
1295,"Pasta, dry, whole-wheat",352
1296,"Persimmons, raw, native",127
1298,"Game meat, raw, caribou",127
1299,"Oranges, with peel, raw",63
1300,"Seeds, raw, lotus seeds",89
1301,"Rolls, oat bran, dinner",236
1302,"Gravy, canned, mushroom",50
1304,"SILK Chocolate, soymilk",58
1305,"Sweetener, agave, syrup",310
1308,"English muffins, wheat",223
1309,"Apples, with skin, raw",52
1311,"Beverages, cola, ZEVIA",0
1313,"Hearts of palm, canned",28
1314,"Fish, raw, ocean, pout",79
1315,"Bread, sprouted, wheat",188
1316,"Spices, dried, chervil",237
1317,"Babyfood, apple, juice",47
1320,"Spices, ground, ginger",335
1322,"Egg, fresh, raw, white",52
1325,"Mushrooms, raw, oyster",33
1327,"Cereals, dry, WHEATENA",357
1329,"Hominy, yellow, canned",72
1331,"Lettuce, raw, red leaf",16
1332,"Game meat, raw, beaver",146
1334,"Butterbur, raw, (fuki)",14
1336,"Pickle relish, hot dog",91
1342,"Peanut flour, defatted",327
1345,"Crackers, plain, matzo",395
1348,"Amaranth grain, cooked",102
1349,"Shallots, freeze-dried",348
1351,"Melon, banana (Navajo)",21
1353,"Wheat, hard red spring",329
1354,"Wheat, soft red winter",331
1355,"Wheat, hard red winter",327
1362,"Soup, vegetable broth, SWANSON",6
1363,"Beans, with beef, canned, baked",121
1364,"Beans, raw, mature seeds, pinto",347
1366,"Yogurt, whole milk, fruit, Greek",106
1368,Soy sauce made from soy (tamari),60
1369,"Hyacinth beans, raw, mature seeds",344
1370,"McDONALD'S, Low Fat Caramel Sauce",313
1371,"Cloudberries, raw (Alaska Native)",51
1373,"Nuts, roasted, european, chestnuts",245
1374,"Cherries, sweetened, frozen, sweet",89
1375,"SPAGHETTIOS, SpaghettiOs  A to Z's",67
1376,"Dip, original flavor, bean, FRITO'S",119
1377,"Cowpeas, raw, young pods with seeds",44
1378,"Soy protein isolate, potassium type",321
1379,"Babyfood, junior, applesauce, fruit",37
1380,"Mollusks, raw, mixed species, squid",92
1381,"Puddings, regular, dry mix, vanilla",379
1382,"Puddings, instant, dry mix, vanilla",377
1384,"Sauce, ready-to-serve, verde, salsa",38
1385,"Pasta mix, unprepared, classic beef",354
1388,"Walrus, dried (Alaska Native), meat",251
1389,"Seal, liver (Alaska Native), ringed",116
1392,"Crustaceans, raw, alaska king, crab",84
1395,"Game meat, roasted, cooked, caribou",167
1396,"CAMPBELL'S, V8 100% Vegetable Juice",21
1397,"Oranges, valencias, California, raw",49
1399,"Beans, no salt added, canned, baked",105
